question_clean,qtype,focus_area,department
what research or clinical trials is being done for chronic myelogenous leukemia,definition,Chronic Myelogenous Leukemia,Oncology
what are the treatments for chronic myelogenous leukemia,treatment,Chronic Myelogenous Leukemia,Oncology
what is merkel cell carcinoma,definition,Merkel Cell Carcinoma,Oncology
who is at risk for merkel cell carcinoma,definition,Merkel Cell Carcinoma,Oncology
what are the symptoms of merkel cell carcinoma,symptoms,Merkel Cell Carcinoma,Oncology
how to diagnose merkel cell carcinoma,diagnosis,Merkel Cell Carcinoma,Oncology
what is the outlook for merkel cell carcinoma,prognosis,Merkel Cell Carcinoma,Oncology
what are the stages of merkel cell carcinoma,definition,Merkel Cell Carcinoma,Oncology
what are the treatments for merkel cell carcinoma,treatment,Merkel Cell Carcinoma,Oncology
what research or clinical trials is being done for merkel cell carcinoma,definition,Merkel Cell Carcinoma,Oncology
what is extragonadal germ cell tumors,definition,Extragonadal Germ Cell Tumors,Oncology
who is at risk for extragonadal germ cell tumors,definition,Extragonadal Germ Cell Tumors,Oncology
what are the symptoms of extragonadal germ cell tumors,symptoms,Extragonadal Germ Cell Tumors,Oncology
how to diagnose extragonadal germ cell tumors,diagnosis,Extragonadal Germ Cell Tumors,Oncology
what is the outlook for extragonadal germ cell tumors,prognosis,Extragonadal Germ Cell Tumors,Oncology
what are the stages of extragonadal germ cell tumors,definition,Extragonadal Germ Cell Tumors,Oncology
what are the treatments for extragonadal germ cell tumors,treatment,Extragonadal Germ Cell Tumors,Oncology
what research or clinical trials is being done for extragonadal germ cell tumors,definition,Extragonadal Germ Cell Tumors,Oncology
what is renal cell cancer,definition,Renal Cell Cancer,Oncology
what are the stages of renal cell cancer,definition,Renal Cell Cancer,Oncology
what are the treatments for renal cell cancer,treatment,Renal Cell Cancer,Oncology
what research or clinical trials is being done for renal cell cancer,definition,Renal Cell Cancer,Oncology
what is chronic neutrophilic leukemia,definition,Chronic Neutrophilic Leukemia,Oncology
what are the treatments for chronic neutrophilic leukemia,treatment,Chronic Neutrophilic Leukemia,Oncology
what is small cell lung cancer,definition,Small Cell Lung Cancer,Oncology
who is at risk for small cell lung cancer,definition,Small Cell Lung Cancer,Oncology
what are the symptoms of small cell lung cancer,symptoms,Small Cell Lung Cancer,Oncology
how to diagnose small cell lung cancer,diagnosis,Small Cell Lung Cancer,Oncology
what are the stages of small cell lung cancer,definition,Small Cell Lung Cancer,Oncology
what are the treatments for small cell lung cancer,treatment,Small Cell Lung Cancer,Oncology
what research or clinical trials is being done for small cell lung cancer,definition,Small Cell Lung Cancer,Oncology
what is ovarian low malignant potential tumors,definition,Ovarian Low Malignant Potential Tumors,Oncology
what are the symptoms of ovarian low malignant potential tumors,symptoms,Ovarian Low Malignant Potential Tumors,Oncology
how to diagnose ovarian low malignant potential tumors,diagnosis,Ovarian Low Malignant Potential Tumors,Oncology
what is the outlook for ovarian low malignant potential tumors,prognosis,Ovarian Low Malignant Potential Tumors,Oncology
what are the stages of ovarian low malignant potential tumors,definition,Ovarian Low Malignant Potential Tumors,Oncology
what are the treatments for ovarian low malignant potential tumors,treatment,Ovarian Low Malignant Potential Tumors,Oncology
what research or clinical trials is being done for ovarian low malignant potential tumors,definition,Ovarian Low Malignant Potential Tumors,Oncology
what is chronic eosinophilic leukemia,definition,Chronic Eosinophilic Leukemia,Oncology
what are the symptoms of chronic eosinophilic leukemia,symptoms,Chronic Eosinophilic Leukemia,Oncology
what are the treatments for chronic eosinophilic leukemia,treatment,Chronic Eosinophilic Leukemia,Oncology
what is ovarian fallopian tube and primary peritoneal cancer,definition,"Ovarian, Fallopian Tube, and Primary Peritoneal Cancer",Oncology
who is at risk for ovarian fallopian tube and primary peritoneal cancer,definition,"Ovarian, Fallopian Tube, and Primary Peritoneal Cancer",Oncology
what is colon cancer,definition,Colon Cancer,Oncology
who is at risk for colon cancer,definition,Colon Cancer,Oncology
what are the symptoms of colon cancer,symptoms,Colon Cancer,Oncology
how to diagnose colon cancer,diagnosis,Colon Cancer,Oncology
what is the outlook for colon cancer,prognosis,Colon Cancer,Oncology
what are the stages of colon cancer,definition,Colon Cancer,Oncology
what are the treatments for colon cancer,treatment,Colon Cancer,Oncology
what research or clinical trials is being done for colon cancer,definition,Colon Cancer,Oncology
what is liver hepatocellular cancer,definition,Liver (Hepatocellular) Cancer,Oncology
who is at risk for liver hepatocellular cancer,definition,Liver (Hepatocellular) Cancer,Oncology
what is testicular cancer,definition,Testicular Cancer,Oncology
who is at risk for testicular cancer,definition,Testicular Cancer,Oncology
what is the outlook for testicular cancer,prognosis,Testicular Cancer,Oncology
what is intraocular uveal melanoma,definition,Intraocular (Uveal) Melanoma,Oncology
who is at risk for intraocular uveal melanoma,definition,Intraocular (Uveal) Melanoma,Oncology
what are the symptoms of intraocular uveal melanoma,symptoms,Intraocular (Uveal) Melanoma,Oncology
how to diagnose intraocular uveal melanoma,diagnosis,Intraocular (Uveal) Melanoma,Oncology
what is the outlook for intraocular uveal melanoma,prognosis,Intraocular (Uveal) Melanoma,Oncology
what are the stages of intraocular uveal melanoma,definition,Intraocular (Uveal) Melanoma,Oncology
what are the treatments for intraocular uveal melanoma,treatment,Intraocular (Uveal) Melanoma,Oncology
what research or clinical trials is being done for intraocular uveal melanoma,definition,Intraocular (Uveal) Melanoma,Oncology
what is hypopharyngeal cancer,definition,Hypopharyngeal Cancer,Oncology
who is at risk for hypopharyngeal cancer,definition,Hypopharyngeal Cancer,Oncology
what are the symptoms of hypopharyngeal cancer,symptoms,Hypopharyngeal Cancer,Oncology
how to diagnose hypopharyngeal cancer,diagnosis,Hypopharyngeal Cancer,Oncology
what is the outlook for hypopharyngeal cancer,prognosis,Hypopharyngeal Cancer,Oncology
what are the stages of hypopharyngeal cancer,definition,Hypopharyngeal Cancer,Oncology
what are the treatments for hypopharyngeal cancer,treatment,Hypopharyngeal Cancer,Oncology
what research or clinical trials is being done for hypopharyngeal cancer,definition,Hypopharyngeal Cancer,Oncology
what is myelodysplastic myeloproliferative neoplasm unclassifiable,definition,"Myelodysplastic/ Myeloproliferative Neoplasm, Unclassifiable",Oncology
what are the symptoms of myelodysplastic myeloproliferative neoplasm unclassifiable,symptoms,"Myelodysplastic/ Myeloproliferative Neoplasm, Unclassifiable",Oncology
what are the treatments for myelodysplastic myeloproliferative neoplasm unclassifiable,treatment,"Myelodysplastic/ Myeloproliferative Neoplasm, Unclassifiable",Oncology
what is rectal cancer,definition,Rectal Cancer,Oncology
who is at risk for rectal cancer,definition,Rectal Cancer,Oncology
what are the symptoms of rectal cancer,symptoms,Rectal Cancer,Oncology
how to diagnose rectal cancer,diagnosis,Rectal Cancer,Oncology
what is the outlook for rectal cancer,prognosis,Rectal Cancer,Oncology
what are the stages of rectal cancer,definition,Rectal Cancer,Oncology
what are the treatments for rectal cancer,treatment,Rectal Cancer,Oncology
what research or clinical trials is being done for rectal cancer,definition,Rectal Cancer,Oncology
what is myelodysplastic syndromes,definition,Myelodysplastic Syndromes,Oncology
what are the treatments for myelodysplastic syndromes,treatment,Myelodysplastic Syndromes,Oncology
what is childhood astrocytomas,definition,Childhood Astrocytomas,Pediatrics
what causes childhood astrocytomas,causes,Childhood Astrocytomas,Pediatrics
who is at risk for childhood astrocytomas,definition,Childhood Astrocytomas,Pediatrics
what are the symptoms of childhood astrocytomas,symptoms,Childhood Astrocytomas,Pediatrics
how to diagnose childhood astrocytomas,diagnosis,Childhood Astrocytomas,Pediatrics
what is the outlook for childhood astrocytomas,prognosis,Childhood Astrocytomas,Pediatrics
what are the stages of childhood astrocytomas,definition,Childhood Astrocytomas,Pediatrics
what research or clinical trials is being done for childhood astrocytomas,definition,Childhood Astrocytomas,Pediatrics
what are the treatments for childhood astrocytomas,treatment,Childhood Astrocytomas,Pediatrics
what is metastatic squamous neck cancer with occult primary,definition,Metastatic Squamous Neck Cancer with Occult Primary,Oncology
what are the symptoms of metastatic squamous neck cancer with occult primary,symptoms,Metastatic Squamous Neck Cancer with Occult Primary,Oncology
how to diagnose metastatic squamous neck cancer with occult primary,diagnosis,Metastatic Squamous Neck Cancer with Occult Primary,Oncology
what is the outlook for metastatic squamous neck cancer with occult primary,prognosis,Metastatic Squamous Neck Cancer with Occult Primary,Oncology
what are the stages of metastatic squamous neck cancer with occult primary,definition,Metastatic Squamous Neck Cancer with Occult Primary,Oncology
what are the treatments for metastatic squamous neck cancer with occult primary,treatment,Metastatic Squamous Neck Cancer with Occult Primary,Oncology
what research or clinical trials is being done for metastatic squamous neck cancer with occult primary,definition,Metastatic Squamous Neck Cancer with Occult Primary,Oncology
what is small intestine cancer,definition,Small Intestine Cancer,Oncology
who is at risk for small intestine cancer,definition,Small Intestine Cancer,Oncology
what are the symptoms of small intestine cancer,symptoms,Small Intestine Cancer,Oncology
how to diagnose small intestine cancer,diagnosis,Small Intestine Cancer,Oncology
what is the outlook for small intestine cancer,prognosis,Small Intestine Cancer,Oncology
what are the stages of small intestine cancer,definition,Small Intestine Cancer,Oncology
what are the treatments for small intestine cancer,treatment,Small Intestine Cancer,Oncology
what is childhood acute myeloid leukemia and other myeloid malignancies,definition,Childhood Acute Myeloid Leukemia and Other Myeloid Malignancies,Oncology
who is at risk for childhood acute myeloid leukemia and other myeloid malignancies,definition,Childhood Acute Myeloid Leukemia and Other Myeloid Malignancies,Oncology
what are the symptoms of childhood acute myeloid leukemia and other myeloid malignancies,symptoms,Childhood Acute Myeloid Leukemia and Other Myeloid Malignancies,Oncology
how to diagnose childhood acute myeloid leukemia and other myeloid malignancies,diagnosis,Childhood Acute Myeloid Leukemia and Other Myeloid Malignancies,Oncology
what is the outlook for childhood acute myeloid leukemia and other myeloid malignancies,prognosis,Childhood Acute Myeloid Leukemia and Other Myeloid Malignancies,Oncology
what are the stages of childhood acute myeloid leukemia and other myeloid malignancies,definition,Childhood Acute Myeloid Leukemia and Other Myeloid Malignancies,Oncology
what research or clinical trials is being done for childhood acute myeloid leukemia and other myeloid malignancies,definition,Childhood Acute Myeloid Leukemia and Other Myeloid Malignancies,Oncology
what are the treatments for childhood acute myeloid leukemia and other myeloid malignancies,treatment,Childhood Acute Myeloid Leukemia and Other Myeloid Malignancies,Oncology
what is nonsmall cell lung cancer,definition,Non-Small Cell Lung Cancer,Oncology
who is at risk for nonsmall cell lung cancer,definition,Non-Small Cell Lung Cancer,Oncology
what are the symptoms of nonsmall cell lung cancer,symptoms,Non-Small Cell Lung Cancer,Oncology
how to diagnose nonsmall cell lung cancer,diagnosis,Non-Small Cell Lung Cancer,Oncology
what is the outlook for nonsmall cell lung cancer,prognosis,Non-Small Cell Lung Cancer,Oncology
